'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Aae';'Per Lennart ';1940;'NPD';22;;;;158
'Abele';'Sebastian Tobias';1987;'SPD';29;'Bayern';2;' 50 ';'  '
'Abolhassanzadeh Talischi';'Roya';1959;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 30 ';'  '
'Acker';'Klaus';1958;'NPD';22;'Rheinland-Pfalz';11;' 10 ';'  '
'Acker';'Reinmund';1949;'K:Acker';30;;;;216
'Ackermann';'Dr. Lothar Matthias';1953;'FDP';17;'Rheinland-Pfalz';11;' 31 ';'  '
'Ackermann';'Jens';1975;'FDP';17;'Sachsen-Anhalt';14;' 2 ';68
'Adam';'Michael';1984;'SPD';29;'Bayern';2;' 43 ';231
'Adler';'Beate';1960;'GRÜNE';4;'Niedersachsen';9;' 11 ';30
'Adomeit';'Michael Harald';1957;'K:Adomeit';30;;;;15
'Aengenvoort';'Manfred August';1944;'NPD';22;'Nordrhein-Westfalen';10;' 15 ';'  '
'Ahlers';'Werner';1939;'VIOLETTEN';15;'Bayern';2;' 13 ';'  '
'Ahlgrimm';'Jonas';1986;'DIE LINKE';13;;;;174
'Ahr-Wiehe';'Kornelia';1964;'FDP';17;'Hessen';7;' 38 ';'  '
'Ahrendt';'Christian';1963;'FDP';17;'Mecklenburg-Vorpommern';8;' 1 ';13
'Ahrens';'Dirk';1977;'PIRATEN';26;'Rheinland-Pfalz';11;' 3 ';'  '
'Aigner';'Alois';1962;'ödp';23;'Bayern';2;' 33 ';230
'Aigner';'Ilse';1964;'CSU';8;'Bayern';2;' 4 ';224
'Aita';'Pasquale';1974;'K:Aita';30;;;;184
'Aken van';'Jan';1961;'DIE LINKE';13;'Hamburg';6;' 1 ';'  '
'Akgün';'Dr. Lale';1953;'SPD';29;'Nordrhein-Westfalen';10;' 29 ';95
'Albanesi';'Stefan';1972;'DIE LINKE';13;;;;256
'Albertsen';'Sönke';1960;'K:Albertsen';30;;;;2
'Albrecht';'Frank';1967;'FDP';17;'Nordrhein-Westfalen';10;' 43 ';116
'Albrecht';'Klaus';1948;'DIE LINKE';13;;;;168
'Albrecht';'Richard Hermann';1963;'BüSo';5;'Bayern';2;' 14 ';'  '
'Aldag';'Wilfried';1952;'NPD';22;;;;43
'Allenstein';'Michael';1963;'DVU';11;'Hessen';7;' 3 ';'  '
'Alpers';'Agnes';1961;'DIE LINKE';13;'Bremen';5;' 1 ';'  '
'Altmaier';'Peter';1958;'CDU';6;'Saarland';12;' 1 ';297
'Altmayer';'Fernande';1961;'FDP';17;'Saarland';12;' 7 ';'  '
'Amann';'Gregor';1962;'SPD';29;'Hessen';7;' 13 ';182
'Ambrosius';'Gerhard';1940;'NPD';22;'Saarland';12;' 2 ';'  '
'Andreae';'Kerstin';1968;'GRÜNE';4;'Baden-Württemberg';1;' 1 ';281
'Andrejewski';'Michael';1959;'NPD';22;;;;16
'Andresen';'Volker';1945;'SPD';29;'Schleswig-Holstein';15;' 22 ';'  '
'Andromidas';'Andrea';1949;'BüSo';5;'Hessen';7;' 8 ';'  '
'Angne';'Christian';1945;'FDP';17;'Rheinland-Pfalz';11;' 21 ';'  '
'Anslinger';'Winfried';1951;'GRÜNE';4;'Saarland';12;' 5 ';299
'Ansorge';'Daniel Richard';1988;'ödp';23;'Bayern';2;' 13 ';257
'Anspach-Papa';'Kornelia';1961;'CDU';6;'Saarland';12;' 9 ';'  '
'Aparicio de Eckelmann';'Marta';1952;'DIE LINKE';13;'Baden-Württemberg';1;' 7 ';258
'Apel';'Rainer';1948;'BüSo';5;'Hessen';7;' 10 ';182
'Appel';'Detlef';1955;'NPD';22;'Brandenburg';4;' 8 ';'  '
'Appelt';'Johannes Peter';1943;'BüSo';5;'Bayern';2;' 15 ';'  '
'Appelt';'Ron';1988;'NPD';22;;;;224
'Appenrodt';'Corinna';1974;'SPD';29;'Thüringen';16;' 9 ';'  '
'Araz';'Feryal';1985;'MLPD';20;'Nordrhein-Westfalen';10;' 7 ';'  '
'Arendt';'Dirk';1976;'NPD';22;'Mecklenburg-Vorpommern';8;' 5 ';'  '
'Armstroff';'Dörthe';1958;'NPD';22;'Rheinland-Pfalz';11;' 1 ';209
'Arndt';'Holger-Michael';1971;'GRÜNE';4;;;;108
'Arndt-Brauer';'Ingrid';1961;'SPD';29;'Nordrhein-Westfalen';10;' 10 ';125
'Arnold';'Karin';1947;'RRP';27;;;;246
'Arnold';'Ludger';1954;'SPD';29;'Hessen';7;' 42 ';'  '
'Arnold';'Rainer';1950;'SPD';29;'Baden-Württemberg';1;' 10 ';262
'Artmeyer';'Ludwig';1965;'GRÜNE';4;;;;127
'Aschenberg-Dugnus';'Christine';1959;'FDP';17;'Schleswig-Holstein';15;' 4 ';4
'Aßmann';'Helma';1939;'BüSo';5;'Brandenburg';4;' 3 ';'  '
'Atan';'Ferit';1955;'MLPD';20;'Baden-Württemberg';1;' 5 ';'  '
'Auernhammer';'Artur Friedrich';1963;'CSU';8;'Bayern';2;' 31 ';'  '
'August';'Elisabeth';1950;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 21 ';'  '
'Augustin';'Andreas';1979;'PIRATEN';26;'Saarland';12;' 7 ';'  '
'Aulenbacher';'Reiner';1957;'MLPD';20;'Saarland';12;' 1 ';296
'Aulila';'Martin';1954;'BP';3;'Bayern';2;' 12 ';'  '
'Aumer';'Peter';1976;'CSU';8;;;;233
'Aydin';'Hüseyin Kenan';1962;'DIE LINKE';13;;;;117
'Azima';'Armin';1977;'BüSo';5;;;;20
'Baade';'Klaus Hermann ';1936;'NPD';22;'Bremen';5;' 2 ';55
'Babic';'Safet';1981;'NPD';22;'Rheinland-Pfalz';11;' 2 ';204
'Bach';'Thomas';1961;'CDU';6;'Hessen';7;' 24 ';'  '
'Bachmann';'Iris';1947;'GRÜNE';4;'Hessen';7;' 17 ';'  '
'Bacholke';'Sabrina';1981;'Tierschutz';21;'Berlin';3;' 4 ';'  '
'Backes';'Veronika';1956;'CDU';6;'Hessen';7;' 36 ';'  '
'Bader';'Jürgen';1960;'MLPD';20;'Hamburg';6;' 2 ';20
