"wahlkreisnr.","Name","bundesland-nr."
"001","Flensburg - Schleswig",15
"002","Nordfriesland - Dithmarschen Nord",15
"003","Steinburg - Dithmarschen Süd",15
"004","Rendsburg-Eckernförde",15
"005","Kiel",15
"006","Plön - Neumünster",15
"007","Pinneberg",15
"008","Segeberg - Stormarn-Nord",15
"009","Ostholstein",15
"010","Herzogtum Lauenburg - Stormarn-Süd",15
"011","Lübeck",15
"012","Wismar - Nordwestmecklenburg - Parchim",8
"013","Schwerin - Ludwigslust",8
"014","Rostock",8
"015","Stralsund - Nordvorpommern - Rügen",8
"016","Greifswald - Demmin - Ostvorpommern",8
"017","Bad Doberan - Güstrow - Müritz",8
"018","Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow",8
"019","Hamburg-Mitte",6
"020","Hamburg-Altona",6
"021","Hamburg-Eimsbüttel",6
"022","Hamburg-Nord",6
"023","Hamburg-Wandsbek",6
"024","Hamburg-Bergedorf - Harburg",6
"025","Aurich - Emden",9
"026","Unterems",9
"027","Friesland - Wilhelmshaven",9
"028","Oldenburg - Ammerland",9
"029","Delmenhorst - Wesermarsch - Oldenburg-Land",9
"030","Cuxhaven - Stade II",9
"031","Stade I - Rotenburg II",9
"032","Mittelems",9
"033","Cloppenburg - Vechta",9
"034","Diepholz - Nienburg I",9
"035","Osterholz - Verden",9
"036","Rotenburg I - Soltau-Fallingbostel",9
"037","Harburg",9
"038","Lüchow-Dannenberg - Lüneburg",9
"039","Osnabrück-Land",9
"040","Stadt Osnabrück",9
"041","Nienburg II - Schaumburg",9
"042","Stadt Hannover I",9
"043","Stadt Hannover II",9
"044","Hannover-Land I",9
"045","Celle - Uelzen",9
"046","Gifhorn - Peine",9
"047","Hameln-Pyrmont - Holzminden",9
"048","Hannover-Land II",9
"049","Hildesheim",9
"050","Salzgitter - Wolfenbüttel",9
"051","Braunschweig",9
"052","Helmstedt - Wolfsburg",9
"053","Goslar - Northeim - Osterode",9
"054","Göttingen",9
"055","Bremen I",5
"056","Bremen II - Bremerhaven",5
"057","Prignitz - Ostprignitz-Ruppin - Havelland I",4
"058","Uckermark - Barnim I",4
"059","Oberhavel - Havelland II",4
"060","Märkisch-Oderland - Barnim II",4
"061","Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I",4
