Wahlkreis;Partei;Erststimmen;Zweitstimmen;Jahr
1;4;7068;13597;2005
1;4;16399;21967;2009
1;6;74480;61535;2005
1;6;61793;51068;2009
1;11;;159;2009
1;12;369;;2009
1;13;6150;8120;2005
1;13;11918;13481;2009
1;16;;2025;2005
1;17;5347;16397;2005
1;17;15292;24187;2009
1;20;;99;2005
1;20;;47;2009
1;22;1306;1359;2005
1;22;1302;1240;2009
1;26;;3385;2009
1;28;;1821;2009
1;29;74802;66099;2005
1;29;52139;41793;2009
2;4;5670;8854;2005
2;4;12840;14927;2009
2;6;67786;59034;2005
2;6;56751;47947;2009
2;11;;194;2009
2;13;4542;5475;2005
2;13;8208;8836;2009
2;16;;1508;2005
2;17;5907;14270;2005
2;17;15184;22605;2009
2;20;;82;2005
2;20;;53;2009
2;22;1213;1190;2005
2;22;1231;1126;2009
2;26;;2233;2009
2;28;;1293;2009
2;29;56380;51307;2005
2;29;36642;32239;2009
2;99;433;;2009
3;4;4480;8979;2005
3;4;10665;12899;2009
3;6;61471;53340;2005
3;6;49779;43480;2009
3;11;;142;2009
3;13;4899;6288;2005
3;13;8896;9808;2009
3;16;2143;2129;2005
3;17;6024;14701;2005
3;17;16037;21970;2009
3;20;;89;2005
3;20;;44;2009
3;22;1471;1665;2005
3;22;1603;1512;2009
3;26;;2549;2009
3;28;;1604;2009
3;29;56428;49715;2005
3;29;37277;31282;2009
3;99;715;;2009
4;4;6164;12613;2005
4;4;14790;18751;2009
4;6;69082;59743;2005
4;6;58876;49789;2009
4;11;;136;2009
4;13;5106;6522;2005
4;13;8729;9821;2009
4;16;;1835;2005
4;17;5607;15507;2005
4;17;14317;23442;2009
4;20;;101;2005
4;20;;55;2009
4;22;1454;1457;2005
4;22;1344;1220;2009
4;26;;2985;2009
4;28;;1540;2009
4;29;68480;59001;2005
4;29;47610;39253;2009
4;99;761;;2005
4;99;948;;2009
5;4;9196;18995;2005
5;4;18699;24659;2009
5;6;50437;42945;2005
5;6;42733;36397;2009
5;11;;139;2009
5;13;6103;8899;2005
5;13;11817;13430;2009
5;16;1759;1657;2005
5;17;4509;13190;2005
5;17;12188;19156;2009
5;20;;152;2005
5;20;;80;2009
5;22;1313;1377;2005
5;22;1392;1275;2009
5;26;;4267;2009
5;28;;1448;2009
5;29;75473;61777;2005
5;29;54398;42369;2009
5;99;814;;2009
6;4;5166;10345;2005
6;4;12187;15701;2009
6;6;57110;48910;2005
6;6;48136;40110;2009
6;11;;131;2009
6;13;;6009;2005
6;13;7871;8936;2009
6;16;2341;1778;2005
6;17;4798;12945;2005
6;17;12515;19772;2009
6;20;;111;2005
6;20;;42;2009
6;22;1800;1526;2005
6;22;1363;1315;2009
6;26;;2281;2009
6;28;;1095;2009
6;29;63207;53258;2005
6;29;41683;35557;2009
6;99;924;;2009
7;4;9118;16610;2005
7;4;16143;20978;2009
7;6;80935;67534;2005
7;6;70458;57203;2009
7;11;;193;2009
7;13;6142;8043;2005
7;13;11794;13412;2009
7;16;;1906;2005
7;17;6743;18796;2005
7;17;17018;28640;2009
7;20;;93;2005
7;20;;56;2009
7;22;1789;1770;2005
7;22;1912;1743;2009
7;26;;3659;2009
7;28;;1571;2009
7;29;78236;68570;2005
7;29;54950;45540;2009
7;99;529;;2009
8;4;7522;16110;2005
8;4;16633;21245;2009
8;6;81812;68553;2005
8;6;70290;58225;2009
8;11;;233;2009
8;13;5971;8166;2005
8;13;12527;14280;2009
8;16;2548;2517;2005
8;17;7530;21167;2005
8;17;20084;31407;2009
8;20;;91;2005
8;20;;58;2009
8;22;1550;1707;2005
8;22;1797;1687;2009
8;26;;3598;2009
8;28;;1814;2009
8;29;79520;68214;2005
8;29;54065;44445;2009
8;99;1225;;2009
9;4;3798;9353;2005
9;4;10411;13651;2009
9;6;60608;52564;2005
9;6;49363;42193;2009
9;11;;132;2009
9;13;4363;5794;2005
9;13;8235;9342;2009
9;16;1716;1608;2005
9;17;5402;14442;2005
9;17;14397;22701;2009
9;20;;65;2005
9;20;;43;2009
9;22;1201;1350;2005
9;22;1270;1192;2009
9;26;;2062;2009
9;28;;1178;2009
9;29;61947;53947;2005
9;29;43765;36329;2009
9;99;433;;2009
10;4;9499;17328;2005
10;4;18761;22240;2009
10;6;83029;69894;2005
10;6;70874;59075;2009
