"Wahlkreis";"Jahr";"Berechtigte";"Wähler";"Ungültige_1";"Ungültige_2";"Gültige_1";"Gültige_2"
1;2009;225216;163329;4117;4181;159212;159148
2;2009;187047;134671;3382;3218;131289;131453
3;2009;177604;128320;3348;3030;124972;125290
4;2009;198910;150018;3404;3026;146614;146992
5;2009;200347;145483;3442;2263;142041;143220
6;2009;175132;127971;3292;3031;124679;124940
7;2009;232899;176188;3384;3193;172804;172995
8;2009;240010;180295;3674;3303;176621;176992
9;2009;179987;131917;4043;3094;127874;128823
10;2009;237144;181568;3884;3259;177684;178309
11;2009;180424;124624;3524;3284;121100;121340
12;2009;216789;136923;2448;2114;134475;134809
13;2009;183166;120292;2032;1728;118260;118564
14;2009;198527;130659;2157;1911;128502;128748
15;2009;199517;119369;2063;2269;117306;117100
16;2009;204944;123824;2460;2324;121364;121500
17;2009;211429;132878;2616;2326;130262;130552
18;2009;185926;118231;2691;2237;115540;115994
19;2009;252967;167220;2727;2089;164493;165131
20;2009;173956;130630;1475;1294;129155;129336
21;2009;186357;142023;1891;1298;140132;140725
22;2009;207016;163012;1821;1357;161191;161655
23;2009;217147;150049;2126;1686;147923;148363
24;2009;219191;143119;2355;1991;140764;141128
25;2009;189804;132885;2439;2121;130446;130764
26;2009;231076;164653;2392;2136;162261;162517
27;2009;190546;132735;2630;1939;130105;130796
28;2009;215591;158347;1891;1490;156456;156857
29;2009;226440;161584;1970;1821;159614;159763
30;2009;189058;135824;1902;1575;133922;134249
31;2009;192956;142114;1690;1424;140424;140690
32;2009;226979;169078;1775;1550;167303;167528
33;2009;212449;148935;1708;1425;147227;147510
34;2009;193411;141838;1646;1315;140192;140523
35;2009;192320;144883;1642;1337;143241;143546
36;2009;168573;121941;1702;1326;120239;120615
37;2009;191159;148918;1976;1552;146942;147366
38;2009;177098;131466;1695;1366;129771;130100
39;2009;197143;144630;1706;1353;142924;143277
40;2009;192473;143711;1584;1370;142127;142341
41;2009;198376;143398;1706;1376;141692;142022
42;2009;180088;131369;1556;1381;129813;129988
43;2009;190623;140587;1655;1392;138932;139195
44;2009;232214;175757;2251;1764;173506;173993
45;2009;217316;157137;1991;1701;155146;155436
46;2009;216957;161017;2012;1822;159005;159195
47;2009;197394;143185;2203;1948;140982;141237
48;2009;239450;183314;2258;2005;181056;181309
49;2009;222804;167520;2201;1802;165319;165718
50;2009;213208;157578;2468;2167;155110;155411
51;2009;189975;139948;1736;1535;138212;138413
52;2009;187831;135261;2196;1790;133065;133471
53;2009;214330;156221;2638;2047;153583;154174
54;2009;224468;166515;2227;1908;164288;164607
55;2009;256131;188189;2557;2099;185632;186090
56;2009;231847;154838;2691;2317;152147;152521
57;2009;171705;108017;3477;3020;104540;104997
58;2009;169284;105814;3330;3010;102484;102804
59;2009;249983;171514;4907;4179;166607;167335
60;2009;255165;173707;4669;4415;169038;169292
61;2009;199083;128273;3598;3708;124675;124565
62;2009;239221;174226;4387;3560;169839;170666
63;2009;246651;170204;5598;4739;164606;165465
64;2009;208525;139228;4461;3597;134767;135631
65;2009;196389;128179;4218;3530;123961;124649
66;2009;192709;126140;4692;3992;121448;122148
67;2009;182677;112980;2552;2742;110428;110238
68;2009;239481;146265;3411;3224;142854;143041
69;2009;236946;144340;3135;2699;141205;141641
70;2009;254287;152948;2932;2582;150016;150366
71;2009;197289;122932;2348;2120;120584;120812
72;2009;248457;143128;3442;3285;139686;139843
73;2009;223268;139785;2462;2185;137323;137600
74;2009;214081;127503;2535;2474;124968;125029
75;2009;232086;136840;3127;2738;133713;134102
76;2009;197252;133355;2749;2340;130606;131015
77;2009;232250;166099;2836;2350;163263;163749
78;2009;183112;132532;3039;2666;129493;129866
79;2009;184436;126799;3098;2821;123701;123978
80;2009;217335;172795;2610;2188;170185;170607
81;2009;195857;150356;2623;1971;147733;148385
82;2009;232759;172928;3533;3001;169395;169927
83;2009;197444;132613;3915;3357;128698;129256
84;2009;222647;160861;2572;2419;158289;158442
85;2009;200391;142838;2326;2083;140512;140755
86;2009;203416;128897;2496;2224;126401;126673
87;2009;204766;132766;2283;2014;130483;130752
88;2009;176885;130211;1582;1194;128629;129017
89;2009;228546;160816;2766;2296;158050;158520
90;2009;187605;131761;2409;1923;129352;129838
91;2009;199907;144058;2447;1979;141611;142079
92;2009;245417;180037;2597;2259;177440;177778
93;2009;245382;176069;3421;2576;172648;173493
94;2009;186798;127011;1718;1178;125293;125833
95;2009;224430;172562;1350;1006;171212;171556
96;2009;197023;134252;1619;1296;132633;132956
97;2009;219218;167574;1898;1655;165676;165919
98;2009;231404;167034;2203;1856;164831;165178
99;2009;211859;161746;1994;1715;159752;160031
100;2009;211963;150609;2389;2173;148220;148436
101;2009;215582;166669;1598;1541;165071;165128
102;2009;213303;146460;2044;1605;144416;144855
103;2009;216614;145089;2101;1915;142988;143174
104;2009;229927;162192;2157;1794;160035;160398
105;2009;204450;150715;1709;1613;149006;149102
106;2009;168402;122690;1541;1261;121149;121429
107;2009;218215;159600;1586;1214;158014;158386
108;2009;195910;134823;1690;1328;133133;133495
109;2009;213950;149942;1966;1695;147976;148247
110;2009;194294;124190;1774;1444;122416;122746
111;2009;204291;149731;1695;1473;148036;148258
112;2009;227805;164366;1990;1658;162376;162708
113;2009;226029;158453;2128;1714;156325;156739
114;2009;207451;151261;1740;1553;149521;149708
115;2009;182878;129601;1681;1412;127920;128189
116;2009;185802;128326;1837;1634;126489;126692
117;2009;159541;95554;1709;1467;93845;94087
118;2009;212283;148108;1982;1803;146126;146305
119;2009;194638;140658;1722;1407;138936;139251
120;2009;171457;107997;1581;1308;106416;106689
121;2009;197729;149281;1591;1198;147690;148083
122;2009;174767;124037;1847;1379;122190;122658
123;2009;194999;140361;1810;1428;138551;138933
124;2009;187486;121673;2652;1472;119021;120201
125;2009;200304;143677;1979;1411;141698;142266
126;2009;208655;148523;1804;1596;146719;146927
127;2009;196659;147728;1494;1231;146234;146497
128;2009;189353;146369;1372;1100;144997;145269
129;2009;192966;143782;1842;1371;141940;142411
130;2009;210934;163921;1362;1190;162559;162731
131;2009;211287;156217;2696;1809;153521;154408
132;2009;232944;168245;2536;1925;165709;166320
133;2009;247085;180441;2348;2091;178093;178350
134;2009;233781;165115;2497;2079;162618;163036
135;2009;209155;147381;1996;1756;145385;145625
136;2009;174517;127817;1880;1522;125937;126295
137;2009;216917;158321;2673;2368;155648;155953
138;2009;243442;172558;2208;2107;170350;170451
139;2009;217768;150712;1885;1650;148827;149062
140;2009;183435;135860;1727;1430;134133;134430
141;2009;214358;153800;1853;1579;151947;152221
142;2009;188777;128511;3036;1948;125475;126563
143;2009;214213;149331;1556;1258;147775;148073
144;2009;208840;141167;1605;1412;139562;139755
145;2009;202933;148909;1757;1552;147152;147357
146;2009;239907;167422;2324;1932;165098;165490
147;2009;232781;165293;2204;1921;163089;163372
148;2009;209440;152242;1927;1702;150315;150540
149;2009;218411;156878;2271;1682;154607;155196
150;2009;214196;151127;1941;1733;149186;149394
151;2009;210993;146986;1788;1661;145198;145325
152;2009;178447;109628;1785;1672;107843;107956
153;2009;202455;129834;1719;1523;128115;128311
154;2009;212804;144581;1904;1786;142677;142795
155;2009;231084;148389;2283;2081;146106;146308
156;2009;216629;140109;2289;2288;137820;137821
157;2009;237786;154966;2907;2573;152059;152393
158;2009;238958;149737;2750;2590;146987;147147
159;2009;215674;141214;2454;2254;138760;138960
160;2009;230676;157220;2007;1773;155213;155447
161;2009;231247;154609;2328;2012;152281;152597
162;2009;223149;143690;2294;2123;141396;141567
163;2009;205652;136100;1716;1603;134384;134497
164;2009;202743;133277;2151;1955;131126;131322
165;2009;247624;159655;2884;2857;156771;156798
166;2009;229535;145614;2383;2228;143231;143386
167;2009;213732;137330;2421;2276;134909;135054
168;2009;192360;140808;3801;3513;137007;137295
169;2009;222636;161033;4254;3903;156779;157130
170;2009;184337;135727;3713;3630;132014;132097
171;2009;194732;144490;4391;4275;140099;140215
172;2009;185071;135293;2382;2195;132911;133098
173;2009;212611;147952;3104;2730;144848;145222
174;2009;228413;165668;3848;3584;161820;162084
175;2009;239786;177038;4081;3660;172957;173378
176;2009;182246;141075;2300;2217;138775;138858
177;2009;246697;183820;4122;4002;179698;179818
178;2009;221226;166456;3400;2837;163056;163619
179;2009;187479;133425;2374;2221;131051;131204
180;2009;241923;178604;4067;4045;174537;174559
181;2009;195505;155748;2821;2322;152927;153426
182;2009;190058;132429;2217;2091;130212;130338
183;2009;212140;156548;2671;2150;153877;154398
184;2009;172278;128119;3099;2765;125020;125354
185;2009;221180;158857;3969;4213;154888;154644
186;2009;233622;176435;3467;3050;172968;173385
187;2009;234911;176808;5386;4959;171422;171849
188;2009;199708;148308;3135;2708;145173;145600
189;2009;204717;136404;1658;1545;134746;134859
190;2009;201700;131047;1984;1912;129063;129135
191;2009;200901;127925;1860;1842;126065;126083
192;2009;214510;139919;2112;1971;137807;137948
193;2009;225708;151236;1962;1638;149274;149598
194;2009;245228;164803;2274;1893;162529;162910
195;2009;182336;116989;1952;1743;115037;115246
196;2009;231447;148939;2261;1845;146678;147094
197;2009;207012;130502;1857;1606;128645;128896
198;2009;242568;172799;3873;2735;168926;170064
199;2009;195658;139346;2813;2187;136533;137159
200;2009;196560;138790;3133;2553;135657;136237
201;2009;179373;130191;4233;2635;125958;127556
202;2009;190569;133191;3062;2458;130129;130733
203;2009;168357;120001;3429;2390;116572;117611
204;2009;191691;138338;3552;2328;134786;136010
205;2009;213225;154343;3255;2698;151088;151645
206;2009;251837;191097;3627;2619;187470;188478
207;2009;202156;147381;3191;2788;144190;144593
208;2009;217445;153455;3013;2744;150442;150711
209;2009;220974;164052;3870;2884;160182;161168
210;2009;235030;163350;4062;3166;159288;160184
211;2009;184220;131065;4156;3205;126909;127860
212;2009;214215;156149;3719;3029;152430;153120
213;2009;166775;112507;1738;1221;110769;111286
214;2009;185961;140360;2228;1157;138132;139203
215;2009;205531;149717;2123;1198;147594;148519
216;2009;249131;190298;2171;1570;188127;188728
217;2009;252615;176318;2441;1617;173877;174701
218;2009;220785;158045;1459;1123;156586;156922
219;2009;231017;170334;1469;1028;168865;169306
220;2009;211617;155666;1546;1000;154120;154666
221;2009;231682;173138;1561;1086;171577;172052
222;2009;233952;185115;1716;1110;183399;184005
223;2009;226483;161912;2087;1544;159825;160368
